case_id	object_key	source_exp	retarget_variant_id	qpos_frames	euler_convention	roundtrip_position_error_cm_max	roundtrip_orientation_error_deg_max	omnirt_contact_3mm_in_mask	prg_contact_3mm_in_mask	delta_prg_minus_omnirt_contact_3mm_in_mask	improvement_contact_3mm_in_mask	omnirt_raw_contact_in_mask	prg_raw_contact_in_mask	delta_prg_minus_omnirt_raw_contact_in_mask	improvement_raw_contact_in_mask	omnirt_hand_object_penetration_3mm	prg_hand_object_penetration_3mm	delta_prg_minus_omnirt_hand_object_penetration_3mm	improvement_hand_object_penetration_3mm	omnirt_lower_body_penetration	prg_lower_body_penetration	delta_prg_minus_omnirt_lower_body_penetration	improvement_lower_body_penetration	omnirt_foot_slip_max_m	prg_foot_slip_max_m	delta_prg_minus_omnirt_foot_slip_max_m	improvement_foot_slip_max_m	omnirt_obj_speed_max	prg_obj_speed_max	delta_prg_minus_omnirt_obj_speed_max	improvement_obj_speed_max	omnirt_ankle_jerk_p95	prg_ankle_jerk_p95	delta_prg_minus_omnirt_ankle_jerk_p95	improvement_ankle_jerk_p95
box021_20231011_038_p1	box021	E170	omnirt_v1	114	XZY	4.996003611e-14	2.957558667e-06	0.1279069767	0.8023255814	0.6744186047	0.6744186047	1	0.8604651163	-0.1395348837	-0.1395348837	0.6666666667	0.05263157895	-0.6140350877	0.6140350877	0	0	0	-0	1.012963553	0.5680474277	-0.4449161253	0.4449161253	1.429072735	1.074921048	-0.354151687	0.354151687	1417.59254	621.8199423	-795.7725977	795.7725977
box021_20231011_038_p2	box021	E170	omnirt_v1	117	XZY	8.182012275e-14	2.414836539e-06	0.07954545455	0.4431818182	0.3636363637	0.3636363637	0.9772727273	0.9204545455	-0.0568181818	-0.0568181818	0.6752136752	0.358974359	-0.3162393162	0.3162393162	0.04273504274	0.6324786325	0.5897435898	-0.5897435898	1.523379285	1.589869859	0.066490574	-0.066490574	1.452312872	1.505185002	0.05287213	-0.05287213	1392.294475	765.4799618	-626.8145132	626.8145132
box021_20231018_028_p1	box021	E170	omnirt_v2	74	ZYX	3.621544273e-14	2.414836539e-06	0.4473684211	0.3947368421	-0.052631579	-0.052631579	1	0.8157894737	-0.1842105263	-0.1842105263	0.2837837838	0.2432432432	-0.0405405406	0.0405405406	0.04054054054	0.09459459459	0.05405405405	-0.05405405405	1.636424826	0.5770415971	-1.059383229	1.059383229	5.566557638	3.378383497	-2.188174141	2.188174141	4863.4005	1465.196241	-3398.204259	3398.204259
box021_20231018_028_p2	box021	E170	omnirt_v1	93	ZYX	7.005190574e-14	1.707547293e-06	0.2692307692	0.03846153846	-0.2307692307	-0.2307692307	0.6153846154	0.4423076923	-0.1730769231	-0.1730769231	0.1935483871	0.2795698925	0.0860215054	-0.0860215054	0.04301075269	0.2150537634	0.1720430107	-0.1720430107	1.035205372	0.2987483776	-0.7364569944	0.7364569944	5.342660952	2.649922979	-2.692737973	2.692737973	2917.686465	1600.339912	-1317.346553	1317.346553
box021_20231018_029_p1	box021	E170	omnirt_v1	71	XYZ	4.611102535e-14	2.414836539e-06	0.6458333333	0.4791666667	-0.1666666666	-0.1666666666	0.7083333333	0.7708333333	0.0625	0.0625	0.04225352113	0.1971830986	0.1549295775	-0.1549295775	0	0.01408450704	0.01408450704	-0.01408450704	0.6692176823	0.8076074228	0.1383897405	-0.1383897405	4.684776733	1.810477872	-2.874298861	2.874298861	2326.035025	881.8486547	-1444.18637	1444.18637
box021_20231018_030_p1	box021	E170	omnirt_v1	88	XZY	8.891536662e-14	1.707547293e-06	0.1666666667	0.4333333333	0.2666666666	0.2666666666	1	0.65	-0.35	-0.35	0.6022727273	0.1931818182	-0.4090909091	0.4090909091	0	0.3295454545	0.3295454545	-0.3295454545	1.7996791	0.8978855427	-0.9017935573	0.9017935573	4.500627497	2.403759596	-2.096867901	2.096867901	1689.20257	958.5103455	-730.6922245	730.6922245
box021_20231018_030_p2	box021	E170	omnirt_v1	88	XZY	6.766044249e-14	1.707547293e-06	0.6666666667	0.2333333333	-0.4333333334	-0.4333333334	0.9666666667	0.35	-0.6166666667	-0.6166666667	0.2159090909	0.07954545455	-0.1363636363	0.1363636363	0.07954545455	0	-0.07954545455	0.07954545455	1.489982254	0.8305302523	-0.6594520017	0.6594520017	4.319604442	2.128777041	-2.190827401	2.190827401	2012.821873	1290.859068	-721.962805	721.962805
box021_20231018_031_p2	box021	E170	omnirt_v1	107	XZY	5.900916318e-14	1.707547293e-06	0.1272727273	0.2909090909	0.1636363636	0.1636363636	0.4727272727	0.3272727273	-0.1454545454	-0.1454545454	0.1962616822	0.01869158879	-0.1775700934	0.1775700934	0	0.1588785047	0.1588785047	-0.1588785047	1.050310472	1.08071548	0.030405008	-0.030405008	2.166139257	1.705742873	-0.460396384	0.460396384	2030.194736	744.9323077	-1285.262428	1285.262428
box021_20231018_032_p1	box021	E170	omnirt_v1	82	XZY	2.288783399e-14	1.707547293e-06	0.1951219512	0.2926829268	0.0975609756	0.0975609756	0.9512195122	0.8048780488	-0.1463414634	-0.1463414634	0.4024390244	0.3536585366	-0.0487804878	0.0487804878	0	0	0	-0	1.009144607	0.3236046861	-0.6855399209	0.6855399209	5.156566688	2.555004282	-2.601562406	2.601562406	2358.964739	974.5949542	-1384.369785	1384.369785
box021_20231018_032_p2	box021	E170	omnirt_v1	76	XZY	2.618455767e-14	1.707547293e-06	0.4318181818	0.2727272727	-0.1590909091	-0.1590909091	0.9090909091	0.3409090909	-0.5681818182	-0.5681818182	0.2763157895	0.03947368421	-0.2368421053	0.2368421053	0.1447368421	0	-0.1447368421	0.1447368421	1.047924397	0.9110604689	-0.1368639281	0.1368639281	4.949161923	1.829326579	-3.119835344	3.119835344	3830.44942	905.8005978	-2924.648822	2924.648822
box021_20231018_033_p1	box021	E170	omnirt_v1	86	XZY	3.554447979e-14	2.414836539e-06	0.1666666667	0.07407407407	-0.09259259263	-0.09259259263	0.9074074074	0.2407407407	-0.6666666667	-0.6666666667	0.5	0.1046511628	-0.3953488372	0.3953488372	0.03488372093	0.2558139535	0.2209302326	-0.2209302326	1.494538355	0.4565109415	-1.038027414	1.038027414	3.116644734	2.032342069	-1.084302665	1.084302665	2325.462083	1387.98841	-937.473673	937.473673
