case_id	object_key	gate_version	calibration_arm	candidate_arm	threshold_omni_absolute_wide_contact_3mm_in_mask	omnirt_omni_absolute_wide_contact_3mm_in_mask	omnirt_gate_pass_omni_absolute_wide_contact_3mm_in_mask	threshold_omni_absolute_wide_contact_3mm_in_mask_box024	omnirt_omni_absolute_wide_contact_3mm_in_mask_box024	omnirt_gate_pass_omni_absolute_wide_contact_3mm_in_mask_box024	threshold_omni_absolute_wide_raw_contact_in_mask	omnirt_omni_absolute_wide_raw_contact_in_mask	omnirt_gate_pass_omni_absolute_wide_raw_contact_in_mask	threshold_omni_absolute_wide_hand_object_penetration_3mm	omnirt_omni_absolute_wide_hand_object_penetration_3mm	omnirt_gate_pass_omni_absolute_wide_hand_object_penetration_3mm	threshold_omni_absolute_wide_lower_body_penetration	omnirt_omni_absolute_wide_lower_body_penetration	omnirt_gate_pass_omni_absolute_wide_lower_body_penetration	threshold_omni_absolute_wide_foot_slip_max_m	omnirt_omni_absolute_wide_foot_slip_max_m	omnirt_gate_pass_omni_absolute_wide_foot_slip_max_m	threshold_omni_absolute_wide_ankle_jerk_p95	omnirt_omni_absolute_wide_ankle_jerk_p95	omnirt_gate_pass_omni_absolute_wide_ankle_jerk_p95	omnirt_wide_gate_pass	omnirt_failure_modes	rl_filter_decision	rl_export_authority
box004_20231003_2_083_p2	box004	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.01388888889	true				0.5	0.9722222222	true	0.8	0.6666666667	true	0.3	0	true	1.9	1.007175352	true	4000	1763.272556	true	true		RL_CANDIDATE_OMNI_WIDE_GATE_PASS	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box004_20231003_2_086_p1	box004	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.1282051282	true				0.5	0.358974359	false	0.8	0.1168831169	true	0.3	0	true	1.9	0.6564599978	true	4000	1499.13739	true	false	omni_absolute_wide_raw_contact_in_mask	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box004_20231003_2_086_p2	box004	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.07692307692	true				0.5	0.9230769231	true	0.8	0.4657534247	true	0.3	0.2465753425	true	1.9	0.7916952487	true	4000	5122.140555	false	false	omni_absolute_wide_ankle_jerk_p95	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box021_20231011_034_p1	box021	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.01724137931	true				0.5	1	true	0.8	0.8041958042	false	0.3	0.01398601399	true	1.9	2.404735224	false	4000	1732.755155	true	false	omni_absolute_wide_hand_object_penetration_3mm;omni_absolute_wide_foot_slip_max_m	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box021_20231011_034_p2	box021	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.128	true				0.5	1	true	0.8	0.7382550336	true	0.3	0.006711409396	true	1.9	2.361298804	false	4000	1550.836098	true	false	omni_absolute_wide_foot_slip_max_m	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box021_20231011_036_p1	box021	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.05737704918	true				0.5	1	true	0.8	0.8251748252	false	0.3	0.2937062937	true	1.9	1.60347225	true	4000	1333.882403	true	false	omni_absolute_wide_hand_object_penetration_3mm	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box021_20231011_036_p2	box021	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.4201680672	true				0.5	1	true	0.8	0.4861111111	true	0.3	0	true	1.9	1.695044885	true	4000	1485.966658	true	true		RL_CANDIDATE_OMNI_WIDE_GATE_PASS	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box021_20231011_037_p1	box021	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.07291666667	true				0.5	0.90625	true	0.8	0.7407407407	true	0.3	0.02777777778	true	1.9	1.78714994	true	4000	1976.827551	true	true		RL_CANDIDATE_OMNI_WIDE_GATE_PASS	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box021_20231011_037_p2	box021	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0	false				0.5	0.009803921569	false	0.8	0.008064516129	true	0.3	0	true	1.9	1.639091118	true	4000	2091.525955	true	false	omni_absolute_wide_contact_3mm_in_mask;omni_absolute_wide_raw_contact_in_mask	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box021_20231011_038_p1	box021	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.1279069767	true				0.5	1	true	0.8	0.6666666667	true	0.3	0	true	1.9	1.012963553	true	4000	1417.59254	true	true		RL_CANDIDATE_OMNI_WIDE_GATE_PASS	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
